Account Number,Invoice Number,Invoice Date,Tracking Number,Pickup Number,Reference Number 1,Reference Number 2,Reference Number 3,Reference Number 4,Reference Number 5,Shipping System / Adjustment,Zone,Service Type,Published Charge,Incentives,Net Amount Due
0000083Y99,000001607902753,"Oct 07, 2022",,,,,,,,Brokerage Charges,,,,,$12.00
0000083Y99,000001607902753,"Oct 07, 2022",,,,,,,,Consignee Charges,,,,,"$1,152.22"
0000083Y99,000001607902753,"Oct 07, 2022",,,,,,,,US Customs Duties,,,,,$82.20
0000083Y99,000001607902753,"Oct 07, 2022",1ZE947W05491609345,,FT 807,,,,,Import Shipment Detail,951,WW Express Plus,"$1,246.42",$0.00,"$1,246.42"
0000083Y99,000001608295604,"Oct 07, 2022",,,,,,,,Discounts,,,,,-$168.46
0000083Y99,000001608295604,"Oct 07, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001608295604,"Oct 07, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001608295604,"Oct 07, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001608295604,"Oct 07, 2022",1ZW527386696882597,,DDT RET2204150,,,,,Import Shipment Detail,951,WW Express,$243.47,$168.46,$75.01
0000083Y99,000001608295604,"Oct 07, 2022",,,,,,,,Consignee Charges,,,,,$243.47
0000083Y99,000001606895451,"Oct 03, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001606895451,"Oct 03, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001606895451,"Oct 03, 2022",,,,,,,,Discounts,,,,,-$423.91
0000083Y99,000001606895451,"Oct 03, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001606895451,"Oct 03, 2022",,,,,,,,Consignee Charges,,,,,$594.18
0000083Y99,000001606895451,"Oct 03, 2022",1ZE947W00492558537,,FT 800,,,,,Import Shipment Detail,451,WW Saver,$594.18,$423.91,$170.27
0000083Y99,000001606895451,"Oct 03, 2022",,,,,,,,Amount Paid/Adjusted,,,,,$170.27
0000083Y99,000001610191159,"Oct 11, 2022",1Z91800V6696782421,,,,,,,Import Shipment Detail,951,WW Express,$159.84,$81.61,$78.23
0000083Y99,000001610191159,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001610191159,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001610191159,"Oct 11, 2022",,,,,,,,Discounts,,,,,-$81.61
0000083Y99,000001610191159,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001610191159,"Oct 11, 2022",,,,,,,,Transportation Charges,,,,,$159.84
0000083Y99,000001610191159,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001608447422,"Oct 04, 2022",,,,,,,,Transportation Charges,,,,,$885.44
0000083Y99,000001608447422,"Oct 04, 2022",1ZW710040493329059,,BI_298_GH,,,,,Import Shipment Detail,001,Dom. Express Saver,$125.92,$0.00,$125.92
0000083Y99,000001608447422,"Oct 04, 2022",1ZW710040496675965,,BI_297_GH,,,,,Import Shipment Detail,001,Dom. Express Saver,$125.92,$0.00,$125.92
0000083Y99,000001608447422,"Oct 04, 2022",1Z3047Y70496393542,,VE7909,,,,,Import Shipment Detail,001,Dom. Express Saver,$362.92,$0.00,$362.92
0000083Y99,000001608447422,"Oct 04, 2022",1ZW710040491026228,,BI_296_GH,,,,,Import Shipment Detail,001,Dom. Express Saver,$270.68,$0.00,$270.68
0000083Y99,000001609495388,"Oct 07, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001609495388,"Oct 07, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001609495388,"Oct 07, 2022",1Z91800V6690661054,,INV 1061,,,,,Import Shipment Detail,951,WW Express,$599.32,$425.72,$173.60
0000083Y99,000001609495388,"Oct 07, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001609495388,"Oct 07, 2022",,,,,,,,Transportation Charges,,,,,$599.32
0000083Y99,000001609495388,"Oct 07, 2022",,,,,,,,Discounts,,,,,-$425.72
0000083Y99,000001611124247,"Oct 14, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001611124247,"Oct 14, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001611124247,"Oct 14, 2022",,,,,,,,Discounts,,,,,
0000083Y99,000001611124247,"Oct 14, 2022",1Z91800V0499617130,,PROFORMA NR.95,,,,,Import Shipment Detail,451,WW Saver,$586.90,$419.12,$167.78
0000083Y99,000001611124247,"Oct 14, 2022",,,,,,,,Transportation Charges,,,,,$586.90
0000083Y99,000001611124247,"Oct 14, 2022",,,,,,,,Discounts,,,,,-$419.12
0000084VF3,000001608843646,"Oct 05, 2022",,,,,,,,Brokerage Charges,,,,,$7.14
0000084VF3,000001608843646,"Oct 05, 2022",,,,,,,,Government Charges,,,,,$10.63
0000084VF3,000001608843646,"Oct 05, 2022",1Z084VF30498692897,,PF23 FABRIC,,,,,Import Shipment Detail,401,WW Saver,$17.77,$0.00,$17.77
0000084VF3,000001610191257,"Oct 11, 2022",,,,,,,,Transportation Charges,,,,,"$2,559.48"
0000084VF3,000001610191257,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001610191257,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001610191257,"Oct 11, 2022",1ZA5781X0495568002,,2223/24253,PANELS,,,,Import Shipment Detail,004,WW Saver,$132.67,$0.00,$132.67
0000084VF3,000001610191257,"Oct 11, 2022",1Z00WR690415114964,,2268,1347,,,,Import Shipment Detail,451,WW Saver,"$2,426.81","$1,488.14",$938.67
0000084VF3,000001610191257,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001610191257,"Oct 11, 2022",,,,,,,,Discounts,,,,,"-$1,488.14"
0000084VF3,000001610191257,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001608447440,"Oct 04, 2022",,,,,,,,Government Charges,,,,,$16.93
0000084VF3,000001608447440,"Oct 04, 2022",,,,,,,,Transportation Charges,,,,,$172.81
0000084VF3,000001608447440,"Oct 04, 2022",,,,,,,,Brokerage Charges,,,,,$10.26
0000084VF3,000001608447440,"Oct 04, 2022",1ZW834956897561605,,,,,,,Import Shipment Detail,001,Dom. Standard,$59.03,$0.00,$59.03
0000084VF3,000001608447440,"Oct 04, 2022",1ZA5781X0495568002,,2223/24253,PANELS,,,,Import Shipment Detail,004,WW Saver,$27.19,$0.00,$27.19
0000084VF3,000001608447440,"Oct 04, 2022",1Z49A7W46899692603,,,,,,,Import Shipment Detail,001,Dom. Standard,$113.78,$0.00,$113.78
0000084VF3,000001610117248,"Oct 11, 2022",,,,,,,,Discounts,,,,,"-$7,655.84"
0000084VF3,000001610117248,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001610117248,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001610117248,"Oct 11, 2022",,,,,,,,Brokerage Charges,,,,,$30.25
0000084VF3,000001610117248,"Oct 11, 2022",1Z00WR690410505336,,2267,DC,,,,Import Shipment Detail,451,WW Saver,"$13,336.04","$7,655.84","$5,680.20"
0000084VF3,000001610117248,"Oct 11, 2022",,,,,,,,Consignee Charges,,,,,"$11,793.38"
0000084VF3,000001610117248,"Oct 11, 2022",,,,,,,,US Customs Duties,,,,,"$1,429.86"
0000084VF3,000001610117248,"Oct 11, 2022",,,,,,,,Govt. Charges Other Than Duties,,,,,$82.55
0000084VF3,000001610117248,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001610117248,"Oct 11, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001610995899,"Oct 14, 2022",1ZF197R06693111897,,,,,,,Import Shipment Detail,951,WW Express,$246.41,$170.49,$75.92
0000084VF3,000001610995899,"Oct 14, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001610995899,"Oct 14, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001610995899,"Oct 14, 2022",,,,,,,,Consignee Charges,,,,,$597.05
0000084VF3,000001610995899,"Oct 14, 2022",,,,,,,,Discounts,,,,,-$421.93
0000084VF3,000001610995899,"Oct 14, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001610995899,"Oct 14, 2022",1Z49A7W46698177041,,VG,,,,,Import Shipment Detail,951,WW Express,$350.64,$251.44,$99.20
0000084VF3,000000084VF3412,"Oct 08, 2022",,,,,,,,Fees,,,,,$25.05
0000084VF3,000000084VF3412,"Oct 08, 2022",,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3412,"Oct 08, 2022",1Z084VF36715683998,,,,,,,Worldwide Service,601,Worldwide Expedited,$184.86,-$52.18,$132.68
0000084VF3,000000084VF3412,"Oct 08, 2022",,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3412,"Oct 08, 2022",,,,,,,,Fees,,,$25.05,$0.00,$25.05
0000084VF3,000000084VF3412,"Oct 08, 2022",,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3412,"Oct 08, 2022",,,,,,,,Worldwide Service,,,,,$132.68
0000084VF3,000000084VF3422,"Oct 15, 2022",,,,,,,,Fees,,,,,$4.44
0000084VF3,000000084VF3422,"Oct 15, 2022",,,,,,,,Fees,,,$4.44,$0.00,$4.44
0000084VF3,000001609849442,"Oct 10, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001609849442,"Oct 10, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001609849442,"Oct 10, 2022",,,,,,,,Consignee Charges,,,,,"$1,491.59"
0000084VF3,000001609849442,"Oct 10, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001609849442,"Oct 10, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001609849442,"Oct 10, 2022",M2405005210,,,,,,,Import Shipment Detail,951,WW Express,$477.29,$341.44,$135.85
0000084VF3,000001609849442,"Oct 10, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001609849442,"Oct 10, 2022",1ZY6817A0491404184,,4589/G,,,,,Import Shipment Detail,451,WW Saver,"$1,014.30",$721.63,$292.67
0000084VF3,000001609849442,"Oct 10, 2022",,,,,,,,Discounts,,,,,"-$1,063.07"
0000084VF3,000001611447069,"Oct 17, 2022",,,,,,,,Discounts,,,,,-$165.97
0000084VF3,000001611447069,"Oct 17, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001611447069,"Oct 17, 2022",,,,,,,,Consignee Charges,,,,,$239.87
0000084VF3,000001611447069,"Oct 17, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001611447069,"Oct 17, 2022",,,,,,,,Discounts,,,,,
0000084VF3,000001611447069,"Oct 17, 2022",1ZW648220450616181,,PROF DEL 14/10/2022,,,,,Import Shipment Detail,451,WW Saver,$239.87,$165.97,$73.90
000065V624,000001609443282,"Oct 07, 2022",,,,,,,,Brokerage Charges,,,,,$12.00
000065V624,000001609443282,"Oct 07, 2022",1Z00WR690415114964,,2268,1347,,,,Import Shipment Detail,451,WW Saver,$466.04,$0.00,$466.04
000065V624,000001609443282,"Oct 07, 2022",,,,,,,,US Customs Duties,,,,,$424.38
000065V624,000001609443282,"Oct 07, 2022",,,,,,,,Govt. Charges Other Than Duties,,,,,$29.66
