Account Number,Invoice Number,Invoice Date,Tracking Number,Pickup Number,Reference Number 1,Reference Number 2,Reference Number 3,Reference Number 4,Reference Number 5,Shipping System / Adjustment,Zone,Service Type,Published Charge,Incentives,Net Amount Due
0000083Y99,1622591481,28-Nov-22,,,,,,,,Discounts,,,,,
0000083Y99,1622591481,28-Nov-22,,,,,,,,Discounts,,,,,
0000083Y99,1622591481,28-Nov-22,,,,,,,,Discounts,,,,,
0000083Y99,1622591481,28-Nov-22,,,,,,,,Consignee Charges,,,,,$208.78 
0000083Y99,1622591481,28-Nov-22,,,,,,,,Amount Paid/Adjusted,,,,,$73.23 
0000083Y99,1622591481,28-Nov-22,,,,,,,,Discounts,,,,,($135.55)
0000083Y99,1622591481,28-Nov-22,1ZAW50960491385636,,PF 614,,,,,Import Shipment Detail,451,WW Saver,$208.78 ,$135.55 ,$73.23 
0000083Y99,1623495351,29-Nov-22,,,,,,,,Discounts,,,,,
0000083Y99,1623495351,29-Nov-22,,,,,,,,Discounts,,,,,
0000083Y99,1623495351,29-Nov-22,,,,,,,,Discounts,,,,,
0000083Y99,1623495351,29-Nov-22,,,,,,,,Consignee Charges,,,,,$318.10 
0000083Y99,1623495351,29-Nov-22,,,,,,,,Discounts,,,,,($188.02)
0000083Y99,1623495351,29-Nov-22,,,,,,,,Amount Paid/Adjusted,,,,,$130.08 
0000083Y99,1623495351,29-Nov-22,1ZY0691F0493246131,,,,,,,Import Shipment Detail,451,WW Saver,$318.10 ,$188.02 ,$130.08 
0000083Y99,1624527421,2-Dec-22,,,,,,,,Discounts,,,,,
0000083Y99,1624527421,2-Dec-22,,,,,,,,Discounts,,,,,
0000083Y99,1624527421,2-Dec-22,,,,,,,,Discounts,,,,,
0000083Y99,1624527421,2-Dec-22,,,,,,,,Discounts,,,,,($134.74)
0000083Y99,1624527421,2-Dec-22,,,,,,,,Amount Paid/Adjusted,,,,,$72.78 
0000083Y99,1624527421,2-Dec-22,,,,,,,,Consignee Charges,,,,,$207.52 
0000083Y99,1624527421,2-Dec-22,1Z8X36250490389840,,ART. SIGMA,,,,,Import Shipment Detail,451,WW Saver,$207.52 ,$134.74 ,$72.78 
0000083Y99,1624079522,29-Nov-22,,,,,,,,Discounts,,,,,
0000083Y99,1624079522,29-Nov-22,,,,,,,,Discounts,,,,,
0000083Y99,1624079522,29-Nov-22,,,,,,,,Discounts,,,,,
0000083Y99,1624079522,29-Nov-22,,,,,,,,Discounts,,,,,
0000083Y99,1624079522,29-Nov-22,,,,,,,,Government Charges,,,,,$125.00 
0000083Y99,1624079522,29-Nov-22,,,,,,,,Brokerage Charges,,,,,$13.80 
0000083Y99,1624079522,29-Nov-22,,,,,,,,Discounts,,,,,($415.21)
0000083Y99,1624079522,29-Nov-22,,,,,,,,Transportation Charges,,,,,$697.06 
0000083Y99,1624079522,29-Nov-22,M2420029121,,,,,,,Import Shipment Detail,951,WW Express,$371.84 ,$266.64 ,$105.20 
0000083Y99,1624079522,29-Nov-22,1Z3047Y70497396029,,VE10090,LANIFICIO DONNA,,,,Import Shipment Detail,1,Dom. Express Saver,$96.40 ,$0.00 ,$96.40 
0000083Y99,1624079522,29-Nov-22,M2420029112,,,,,,,Import Shipment Detail,951,WW Express,$228.82 ,$148.57 ,$80.25 
0000083Y99,1624079522,29-Nov-22,M2398318773,,FP,,,,,Import Shipment Detail,704,WW Standard,$138.80 ,$0.00 ,$138.80 
0000083Y99,1626183709,6-Dec-22,,,,,,,,Discounts,,,,,
0000083Y99,1626183709,6-Dec-22,,,,,,,,Discounts,,,,,
0000083Y99,1626183709,6-Dec-22,,,,,,,,Discounts,,,,,
0000083Y99,1626183709,6-Dec-22,,,,,,,,Discounts,,,,,
0000083Y99,1626183709,6-Dec-22,,,,,,,,Transportation Charges,,,,,$636.06 
0000083Y99,1626183709,6-Dec-22,,,,,,,,Discounts,,,,,($305.17)
0000083Y99,1626183709,6-Dec-22,M2398318773,,FP,,,,,Import Shipment Detail,704,WW Standard,$209.47 ,$0.00 ,$209.47 
0000083Y99,1626183709,6-Dec-22,M2420029103,,,,,,,Import Shipment Detail,451,WW Saver,$426.59 ,$305.17 ,$121.42 
0000084VF3,1625263991,2-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1625263991,2-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1625263991,2-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1625263991,2-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1625263991,2-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1625263991,2-Dec-22,,,,,,,,Discounts,,,,,"($1,131.34)"
0000084VF3,1625263991,2-Dec-22,,,,,,,,US Customs Duties,,,,,$850.07 
0000084VF3,1625263991,2-Dec-22,,,,,,,,Consignee Charges,,,,,"$1,630.48 "
0000084VF3,1625263991,2-Dec-22,,,,,,,,Brokerage Charges,,,,,$48.00 
0000084VF3,1625263991,2-Dec-22,1ZW978716692565361,,FATVEX2022-1239,MERCE SICURA,,,,Import Shipment Detail,951,WW Express,$703.42 ,$297.02 ,$406.40 
0000084VF3,1625263991,2-Dec-22,1ZE947W00495494163,,FT 1028,,,,,Import Shipment Detail,451,WW Saver,$357.05 ,$188.02 ,$169.03 
0000084VF3,1625263991,2-Dec-22,1ZW978716693368546,,FATVEX2022-1236,MERCE SICURA,,,,Import Shipment Detail,951,WW Express,$996.94 ,$435.77 ,$561.17 
0000084VF3,1625263991,2-Dec-22,1ZE947W00499459551,,FT 1016,,,,,Import Shipment Detail,451,WW Saver,$471.14 ,$210.53 ,$260.61 
0000084VF3,1626770100,8-Dec-22,,,,,,,,Consignee Charges,,,,,$243.96 
0000084VF3,1626770100,8-Dec-22,M2424649936,,,,,,,Import Shipment Detail,951,WW Express,$243.96 ,$168.80 ,$75.16 
0000084VF3,1626770100,8-Dec-22,,,,,,,,Discounts,,,,,($168.80)
0000084VF3,1626770100,8-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1626770100,8-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1626770100,8-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,000000084VF3492,3-Dec-22,,,,,,,,Adjustments,,,$1.00 ,$0.00 ,$1.00 
0000084VF3,000000084VF3492,3-Dec-22,,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3492,3-Dec-22,,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3492,3-Dec-22,,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3492,3-Dec-22,,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3492,3-Dec-22,,,,,,,,Outbound,,,,,
